ID;Priority;Period;Deadline;WCET;FPS Deadline Miss;FPS Executions;FPS Preemptions;Less;EDF Deadline Miss;EDF Executions;EDF Preemptions;Utilization by work;Utilization by calculable overheads;;FPS Min Work Jitter;FPS Max Work Jitter;FPS Min Release Jitter;FPS Max Release Jitter;FPS Avarage Work Jitter;EDF Min Work Jitter;EDF Max Work Jitter;EDF Min Release Jitter;EDF Max Release Jitter;EDF Avarage Work Jitter
1;20;10000;10000;151;0;11343;0;-9146;9655;11339;9146;0.0151;0.005663;;27376;27378;175821;194340;27376;27346;38602;173989;6726861;27346
2;19;22500;22500;202;0;5042;0;-4334;4332;5039;4334;0.008977777777777777;0.002516888888888889;;36552;36558;85821;229687;36552;36556;76458;84012;8931599;36556
3;18;26250;26250;1395;0;4322;0;-3723;3713;4320;3723;0.053142857142857144;0.002157333333333333;;251435;258403;40821;274263;251436;251416;296527;129040;9672304;251439
4;17;33750;33750;1137;0;3361;60;-2844;2898;3360;2904;0.033688888888888886;0.001677925925925926;;204984;247788;40821;533920;204991;204972;253485;527180;10808339;204994
5;16;35000;35000;4476;0;3241;1260;-1774;2994;3240;3034;0.1278857142857143;0.0016179999999999999;;806360;1113074;175823;747052;845751;806341;862274;739804;10217829;807122
6;15;39375;39375;141;0;2881;60;-2257;2313;2880;2317;0.003580952380952381;0.0014382222222222222;;25570;67445;18323;1563721;25573;25574;71791;1553761;10970658;25578
7;14;40000;40000;4094;0;2836;1576;-1026;2577;2835;2602;0.10235;0.00141575;;737594;2082769;211897;1595456;851470;737593;1045143;1187755;10336405;738550
8;13;42000;42000;3508;0;2701;1815;-558;2346;2700;2373;0.08352380952380953;0.0013483333333333333;;632010;2550640;175825;2383704;802931;631991;723675;1543049;10780632;632826
9;12;47250;47250;2088;0;2401;1020;-1106;2115;2400;2126;0.04419047619047619;0.0011985185185185185;;376298;2554797;40827;3024857;525472;376279;425817;3012426;11502774;376421
10;11;50000;50000;6275;0;2269;3871;1796;2046;2268;2075;0.1255;0.0011326;;1130430;4389033;211840;3407505;1818374;1130409;1449594;3350980;11488970;1132725
11;10;56700;56700;3728;0;2000;2238;399;1809;2000;1839;0.06574955908289241;0.0009987654320987654;;671596;5152659;13827;4643431;1362106;671584;976519;4624146;13057108;673107
12;9;60480;60480;6175;2;1875;3975;2164;1776;1875;1811;0.10209986772486772;0.0009363425925925927;;1112428;6591153;10225;5623573;2745413;1112406;1212500;5568200;13116185;1114484
13;8;63000;63000;1802;11;1800;1303;-69;1364;1800;1372;0.028603174603174603;0.000898888888888889;;324665;7683298;175765;14091538;914833;324669;370474;6376742;13559709;325512
14;7;64800;64800;965;6;1750;582;-862;1440;1750;1444;0.014891975308641975;0.0008739197530864197;;173895;7055268;31835;16585635;455102;173899;217160;6806042;14406058;174036
15;6;67500;67500;2352;18;1680;1547;233;1303;1680;1314;0.03484444444444444;0.000838962962962963;;423795;9821402;345615;16950646;1563976;423794;474097;6754473;14809054;424703
16;5;70875;70875;2897;77;1600;1991;742;1237;1600;1249;0.04087477954144621;0.0007990123456790123;;521896;13127567;18335;21516180;2519547;521884;570369;7777995;15156904;523139
17;4;72000;72000;423;74;1575;362;-760;1119;1575;1122;0.005875;0.0007865277777777777;;76306;10691096;175825;35580440;444918;76336;117704;8356962;15524650;76339
18;3;75600;75600;4979;978;1500;3681;2486;1169;1500;1195;0.06585978835978835;0.0007490740740740741;;896998;28374847;64975;35850547;9564931;896884;1209737;7842770;15886979;899977
19;2;78750;78750;518;1259;1440;503;-299;798;1440;802;0.006577777777777778;0.0007191111111111111;;93408;98444201;615399;230942854;5949567;93438;134785;8677445;16721260;93468
20;1;84375;84375;677;678;677;233;-723;953;1344;956;0.008023703703703703;0.0006711703703703703;;122066;496793514;419302719;10401139785;26206460;122066;169824;10291088;18352185;122181
;;113428968;;;;;26077;;;;47738;0.9713405467372134;0.028438347530864203;0.9997788942680775
;;;;;;;-0.8306553667983281;;;;;
